question,option1,option2,option3,option4,correctAnswer,difficulty
Which Norse God has a horse named Sleipnir?,Balder,Frigg,Odin,Thor,Odin,Hard
Which of the following is not another name for the eggplant?,Brinjal,Guinea Squash,Melongene,Potimarron,Potimarron,Hard
Which German field marshal was known as the `Desert Fox`?,Ernst Busch,Erwin Rommel,Wilhelm List,Wolfram Freiherr von Richthofen,Erwin Rommel,Easy
"In bowling, what is the term used for getting three consecutive strikes?",Birdie,Eagle,Flamingo,Turkey,Turkey,Easy
The body of the Egyptian Sphinx was based on which animal?,Bull,Dog,Horse,Lion,Lion,Easy
The collapse of the Soviet Union took place in which year?,1891,1990,1991,1992,1991,Easy
What amount of bits commonly equals one byte?,1,2,64,8,8,Easy
"In baseball, how many fouls are an out?",0,2,3,5,0,Easy
What is the capital of India?,Bejing,Montreal,New Delhi,Tithi,New Delhi,Easy
"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?",Fat Man,Noahs Ark,Spruce Goose,Trojan Horse,Spruce Goose,Easy
Which of the following countries has a flag featuring a yellow lion wielding a sword on a dark red background?,Bhutan,Kiribati,Scotland,Sri Lanka,Sri Lanka,Easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,Easy
The numbering system with a radix of 16 is more commonly referred to as ,Binary,Duodecimal,Hexidecimal,Octal,Hexidecimal,Easy
Which candy is NOT made by Mars?,Almond Joy,M&amp;Ms,Snickers,Twix,Almond Joy,Easy
Which nation claims ownership of Antarctica?,Australia,"No one, but there are claims.",United Nations,United States of America,"No one, but there are claims.",Easy
How many countries does the United States share a land border with?,1,2,3,4,2,Easy
How would one say goodbye in Spanish?, Hola,Adi&oacute;s,Au Revoir,Salir,Adi&oacute;s,Easy
Who sculpted the statue of David?,Auguste Rodin,Donatello,Gian Lorenzo Bernini,Michelangelo,Michelangelo,Easy
Greenland is a part of which kingdom?,Denmark,Norway,Sweden,United Kingdom,Denmark,Easy
What does the computer software acronym JVM stand for?,Java Vendor Machine,Java Virtual Machine,Java Visual Machine,Just Virtual Machine,Java Virtual Machine,Easy
Which city is the capital of the United States of America?,Albany,Los Angeles,Seattle,Washington D.C,Washington D.C,Easy
Which US state has the highest population?,California,Florida,New York,Texas,California,Easy
Which of the following is not the host of a program on NPR?,Ben Shapiro,Ira Glass,Peter Sagal,Terry Gross,Ben Shapiro,Easy
What does SSD stand for in the context of computer storage?, Solid State Drive,Secure System Disk,Software Storage Device,Super Speed Data, Solid State Drive,Easy
The Alps are a mountain range on which continent?,Africa,Asia,Europe,North America,Europe,Easy
What language does Node.js use?,Java,Java Source,JavaScript,Joomla Source Code,JavaScript,Easy
Approximately how many Apple I personal computers were created?,100,1000,200,500,200,Medium
During what war did the Cuban Missile Crisis occur?,Cold War,Revolutionary War,World War I,World War II,Cold War,Medium
What fast food chain has the most locations globally? ,KFC,McDonalds,Starbucks,Subway,Subway,Medium
Who tutored Alexander the Great?,Aristotle,King Philip,Plato,Socrates,Aristotle,Medium
Which artists style was to use small different colored dots to create a picture?,Georges Seurat,Henri Rousseau,Paul C&eacute;zanne,Vincent Van Gogh,Georges Seurat,Medium
What was the name of the chemical that was dropped on Vietnam during the Vietnam war?,Agent Orange,Hydrogen Cyanide,Mustard Gas,Phosgene,Agent Orange,Medium
What is the collective noun for bears?,Drove,Husk,Sloth,Tribe,Sloth,Medium
Which NBA player won Most Valuable Player for the 1999-2000 season?,Allen Iverson,Kobe Bryant,Paul Pierce,Shaquille ONeal,Shaquille ONeal,Medium
Which logical fallacy means to attack the character of your opponent rather than their arguments?,Ad hominem,Argumentum ad populum,Post hoc ergo propter hoc,Tu quoque,Ad hominem,Medium
What African country has Portuguese as its official language?,Botswana,Gabon,Mozambique,Togo,Mozambique,Medium
Which German sportswear companys logo is the Formstripe?,Adidas,Nike,Puma,Reebok,Puma,Medium
Under which name was Rodrigo Borgia made Pope?,Alexander VI,John Paul II,Pius VII,Rodrigo I,Alexander VI,Medium
What is the capital of Greenland?,Maniitsoq,Narsaq,Nuuk,Sisimiut,Nuuk,Medium
What is the largest lake in the African continent?,Lake Malawi,Lake Tanganyika,Lake Turkana,Lake Victoria,Lake Victoria,Medium
What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?,CPU Vent,Heat Sink,Heat Vent,Temperature Decipator,Heat Sink,Medium
What is the busiest port in Europe?,Port of Amsterdam,Port of Antwerp,Port of Hamburg,Port of Rotterdam,Port of Rotterdam,Medium
"During World War I, which nations monarchs were blood related?","England, Germany, Russia","France, Russia, Germany","Germany, Spain, Austria","Serbia, Russia, Croatia","England, Germany, Russia",Hard
Which is the hull NO. of the Fletcher class destroyer Fletcher?,DD-444,DD-445,DD-446,DD-992,DD-445,Hard
What year was the United States Declaration of Independence signed?,1774,1775,1776,1777,1776,Hard
What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Case Blue,Operation Barbarossa,Operation Sunflower,Operation Typhoon,Operation Typhoon,Hard
"Which churchs interior in Vatican City was designed in 1503 by renaissance architects including Bramante, Michelangelo and Bernini?",Catania Cathedral,St. Mark&rsquo;s Basilica,St. Peters Basilica,The Duomo of Florence,St. Peters Basilica,Hard
Which of the following is not another name for the eggplant?,Brinjal,Guinea Squash,Melongene,Potimarron,Potimarron,Hard
What was the name of the Ethiopian Wolf before they knew it was related to wolves?,Amharic Fox,Canis Simiensis,Ethiopian Coyote,Simien Jackel,Simien Jackel,Hard
The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,Fiji,Marshall Islands,Micronesia,Tuvalu,Micronesia,Hard
What is the Finnish word for Finland?,Eesti,Magyarorszg,Suomi,Sverige,Suomi,Hard
How many sonatas did Ludwig van Beethoven write?,21,31,32,50,32,Hard
What is the romanized Arabic word for moon?,Kawkab,Najma,Qamar,Shams,Qamar,Hard
When did Spanish Peninsular War start?,1806,1808,1809,1810,1808,Hard
"What does the Latin phrase Veni, vidi, vici translate into English?","I came, I saw, I conquered","Life, liberty, and happiness","Past, present, and future","See no evil, hear no evil, speak no evil","I came, I saw, I conquered",Hard
Which year was the third Super Bowl held?,1968,1969,1970,1971,1969,Hard
What is the name of the Boeing B-29 that dropped the Little Boy atomic bomb on Hiroshima?,Enola Gay,Full House,Necessary Evil,The Great Artiste,Enola Gay,Hard
What is the scientific name of the cheetah?,Acinonyx jubatus,Felis catus,Lynx rufus,Panthera onca,Acinonyx jubatus,Hard
Which King of England was faced with the Peasants Revolt in 1381?,Edward II,Edward III,Henry IV,Richard II,Richard II,Hard
What year was the RoboSapien toy robot released?,2000,2001,2004,2006,2004,Hard
"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-5,1-6,1-7,2-6,01-Jul,Easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,Easy
Terry Gilliam was an animator that worked with which British comedy group?,Monty Python,The Goodies&lrm;,The League of Gentlemen&lrm;,The Penny Dreadfuls,Monty Python,Easy
The C programming language was created by this American computer scientist. ,Dennis Ritchie,Tim Berners Lee,Willis Ware,al-Khwārizmī,Dennis Ritchie,Easy
"On Twitter, what was the original character limit for a Tweet?",100,120,140,160,140,Easy
What does a funambulist walk on?,A Tight Rope,Balls,Broken Glass,The Moon,A Tight Rope,Easy
"In most traditions, who was the wife of Zeus?",Aphrodite,Athena,Hera,Hestia,Hera,Easy
Who won the 2015 Formula 1 World Championship?,Jenson Button,Lewis Hamilton,Nico Rosberg,Sebastian Vettel,Lewis Hamilton,Easy
How many heads does Cerberus have?,1,2,3,5,3,Easy
What is the name of the peninsula containing Spain and Portugal?,European Peninsula,Iberian Peninsula,Peloponnesian Peninsula,Scandinavian Peninsula,Iberian Peninsula,Easy
"In 1939, Britain and France declared war on Germany after it invaded which country?",Austria,Czechoslovakia,Hungary,Poland,Poland,Easy
How many manned moon landings have there been?,1,3,6,7,6,Easy
"Which country, not including Japan, has the most people of japanese decent?",Brazil,China,South Korea,United States of America,Brazil,Easy
Which of the following is the IATA code for Manchester Airport?,EGCC,EGLL,LHR,MAN,MAN,Easy
"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",Cellphone,Key,Pen,Sword,Key,Easy
Which modern country is known as The Graveyard of Empires?,Afghanistan,China,Iraq,Russia,Afghanistan,Easy
What year did World War I begin?,1905,1914,1919,1925,1914,Easy
Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Achaeans,Dorians,Illyrians,Ionians,Illyrians,Easy
Which of these colours is NOT featured in the logo for Google?,Blue,Green,Pink,Yellow,Pink,Easy
What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Ninja,Samurai,Shinobi,Shogun,Shogun,Medium
What year was hockey legend Wayne Gretzky born?,1959,1961,1963,1965,1961,Medium
Which Apollo mission was the last one in NASAs Apollo program?,Apollo 11,Apollo 13,Apollo 15,Apollo 17,Apollo 17,Medium
"The dish Fugu, is made from what family of fish?",Bass,Mackerel,Pufferfish,Salmon,Pufferfish,Medium
What city  has the busiest airport in the world?,"Atlanta, Georgia USA","Chicago,Illinois ISA","London, England","Tokyo,Japan","Atlanta, Georgia USA",Medium
When was Hubba Bubba first introduced?,1972,1979,1980,1984,1979,Medium
Where is the worlds oldest still operational space launch facility located?,Iran,Kazakhstan,Russia,United States,Kazakhstan,Medium
How fast is USB 3.1 Gen 2 theoretically?,1 Gb/s,10 Gb/s,5 Gb/s,8 Gb/s,10 Gb/s,Medium
Nvidias headquarters are based in which Silicon Valley city?,Cupertino,Mountain View,Palo Alto,Santa Clara,Santa Clara,Medium
What is the right way to spell the capital of Hungary?,Bhudapest,Boodapest,Budapast,Budapest,Budapest,Medium
Which of these countries is NOT located in Africa?,Algeria,Burkina Faso,Mozambique,Suriname,Suriname,Medium
The Japanese district Akihabara is also known by what nickname?,Big Eyes,Electric Town,Moon Walk River,Otaku Central ,Electric Town,Medium
Which operating system was released first?,Linux,Mac OS,OS/2,Windows,Mac OS,Medium
What is the northernmost human settlement with year round inhabitants?,"Alert, Canada","Honningsv&aring;g, Norway","McMurdo Station, Antarctica ","Nagurskoye, Russia","Alert, Canada",Medium
The Principality of Sealand is an unrecognized micronation off the coast of what country?,Argentina,Austrailia,Japan,The United Kingdom,The United Kingdom,Medium
What was the bloodiest single-day battle during the American Civil War?,The Battle of Antietam,The Battle of Gettysburg,The Battles of Chancellorsville,The Siege of Vicksburg,The Battle of Antietam,Medium
With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Benetton,Ferrari,Jordan,Mercedes,Jordan,Medium
"Which of these is the name of a Japanese system of alternative medicine, literally meaning finger pressure?",Ikigai,Majime,Shiatsu,Ukiyo,Shiatsu,Medium
"What national museum will you find in Cooperstown, New York?",Metropolitan Museum of Art,Museum of Modern Art,National Baseball Hall of Fame,National Toy Hall of Fame,National Baseball Hall of Fame,Hard
The word abulia means which of the following?,A feverish desire to rip ones clothes off,The inability to concentrate on anything,The inability to make decisions,The inability to stand up,The inability to make decisions,Hard
"Bir Tawil, an uninhabited track of land claimed by no country, is located along the border of which two countries?",Chad and Libya,Egypt and Sudan,Iraq and Saudi Arabia,Israel and Jordan,Egypt and Sudan,Hard
Which Norse God has a horse named Sleipnir?,Balder,Frigg,Odin,Thor,Odin,Hard
What internet protocol was documented in RFC 1459?,FTP,HTTP,HTTPS,IRC,IRC,Hard
What year is on the flag of the US state Wisconsin?,1634,1783,1848,1901,1848,Hard
"According to DeMorgans Theorem, the Boolean expression (AB) is equivalent to:",A + B,AB + BA,AB,AB + AB,A + B,Hard
What was the name of the security vulnerability found in Bash in 2014?,Bashbug,Heartbleed,Shellshock,Stagefright,Shellshock,Hard
What is the scientific name of the cheetah?,Acinonyx jubatus,Felis catus,Lynx rufus,Panthera onca,Acinonyx jubatus,Hard
The ancient city of Chich&eacute;n Itz was built by which civilization?,Aztecs,Incas,Mayans,Toltecs,Mayans,Hard
What is the capital of Scotland?,Dundee,Edinburgh,Glasgow,London,Edinburgh,Easy
How would one say goodbye in Spanish?, Hola,Adi&oacute;s,Au Revoir,Salir,Adi&oacute;s,Easy
When did the Battle of the Somme begin?,"August 1st, 1916","July 1st, 1916","July 2nd, 1916","June 30th, 1916","July 1st, 1916",Easy
"The Kākāpō is a large, flightless, nocturnal parrot native to which country?",Australia,Madagascar,New Zealand,South Africa,New Zealand,Easy
"If you are caught Goldbricking, what are you doing wrong?",Cheating,Slacking,Smoking,Stealing,Slacking,Easy
In what year was the M1911 pistol designed?,1899,1907,1911,1917,1911,Easy
How many legs do butterflies have?,0,2,4,6,6,Easy
What is the capital of Denmark?,Aalborg,Aarhus,Copenhagen,Odense,Copenhagen,Easy
What mythology did the god Apollo come from?,Greek and Chinese,Greek and Roman,"Greek, Roman and Norse",Roman and Spanish,Greek and Roman,Easy
What do you call a baby bat?,Chick,Cub,Kid,Pup,Pup,Easy
The Alps are a mountain range on which continent?,Africa,Asia,Europe,North America,Europe,Easy
What year did World War I begin?,1905,1914,1919,1925,1914,Easy
Who won the 2015 Formula 1 World Championship?,Jenson Button,Lewis Hamilton,Nico Rosberg,Sebastian Vettel,Lewis Hamilton,Easy
"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?",Fat Man,Noahs Ark,Spruce Goose,Trojan Horse,Spruce Goose,Easy
What is the name of the company in Lethal Company?,Gordian Shipping Co.,Lethal Robotics,Planet Scrap Co.,The Company,The Company,Easy
What company developed the vocaloid Hatsune Miku?,Crypton Future Media,Sega,Sony,Yamaha Corporation,Crypton Future Media,Easy
Which of these countries remained neutral during World War II?,France,Italy,Switzerland,United Kingdom,Switzerland,Easy
What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?,Air France,British Airways,Swiss Air,TWA,Swiss Air,Easy
Which of the following Arab countries does NOT have a flag containing only Pan-Arab colours?,Jordan,Kuwait,Qatar,United Arab Emirates,Qatar,Easy
What zodiac sign is represented by a pair of scales?,Aries,Capricorn,Libra,Sagittarius,Libra,Easy
What colour is the circle on the Japanese flag?,Black,Red,White,Yellow,Red,Easy
Which of the following European languages is classified as a language isolate?,Basque,Galician,Hungarian,Maltese,Basque,Easy
Which of the following player scored a hat-trick during their Manchester United debut?,Cristiano Ronaldo,David Beckham,Robin Van Persie,Wayne Rooney,Wayne Rooney,Medium
"One of the deadliest pandemics, the Spanish Flu, killed off what percentage of the human world population at the time?",1 to 3 percent,3 to 6 percent,6 to 10 percent,less than 1 percent,3 to 6 percent,Medium
Which of the following is not a megadiverse country - one that harbors a high number of the earths endemic species?,Mexico,Peru,South Africa,Thailand,Thailand,Medium
What name represents the letter M in the NATO phonetic alphabet?,Mark,Matthew,Max,Mike,Mike,Medium
What island in the Canary Islands was the scene of one of the worst air disasters in history with the collision of two jumbo jets?,Fuerteventura,Gran Canaria,Maui,Tenerife,Tenerife,Medium
What does the G mean in G-Man?,Geronimo,Ghost,Going,Government,Government,Medium
Nvidias headquarters are based in which Silicon Valley city?,Cupertino,Mountain View,Palo Alto,Santa Clara,Santa Clara,Medium
When was the Peoples Republic of China founded?,"April 3, 1947","December 6, 1950","May 7, 1945","October 1, 1949","October 1, 1949",Medium
Who designed the Chupa Chups logo?,Andy Warhol,Pablo Picasso,Salvador Dali,Vincent van Gogh,Salvador Dali,Medium
Which of the following carbonated soft drinks were introduced first?,Coca-Cola,Dr. Pepper,Mountain Dew,Sprite,Dr. Pepper,Medium
What year did the Battle of Agincourt take place?,1401,1415,1422,1463,1415,Medium
Against which country did the Dutch Republic fight the Eighty Years War?,England,France,Portugal,Spain,Spain,Medium
Which of these theoretical phycisists first predicted the existence of antimatter?,Albert Einstein,Niels Bohr,Paul Dirac,Werner Heisenberg,Paul Dirac,Hard
What is the romanized Korean word for heart?,Aejeong,Jeongsin,Segseu,Simjang,Simjang,Hard
Which of the following was not one of Joseph Stalins ten blows during World War II?,Crimean Offensive,Leningrad-Novgorod Offensive,Operation Bagration,Vistula-Oder Offensive,Vistula-Oder Offensive,Hard
"According to Algonquian folklore, how does one transform into a Wendigo?",Drinking the blood of many slain animals.,Excessive mutilation of animal corpses.,Participating in cannibalism.,Performing a ritual involving murder.,Participating in cannibalism.,Hard
Which of the following is not another name for the eggplant?,Brinjal,Guinea Squash,Melongene,Potimarron,Potimarron,Hard
Bohdan Khmelnytsky was which of the following?,General Secretary of the Communist Party of the USSR,Grand Prince of Novgorod,Leader of the Ukrainian Cossacks,Prince of Wallachia,Leader of the Ukrainian Cossacks,Hard
What is the full name of the footballer Cristiano Ronaldo?,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Ronaldo dos Santos Aveiro,Hard
"In Greek Mythology, who was the daughter of King Minos?",Alana,Ariadne,Ariel,Athena,Ariadne,Hard
"What is the county seat of King County, Washington?",Bellevue,Enumclaw,Seattle,Skykomish,Seattle,Hard
What internet protocol was documented in RFC 1459?,FTP,HTTP,HTTPS,IRC,IRC,Hard
Which English king was married to Eleanor of Aquitaine?,Henry I,Henry II,Henry V,Richard I,Henry II,Hard
Who was the first man to travel into outer space twice?,Charles Conrad,Gus Grissom,Vladimir Komarov,Yuri Gagarin,Gus Grissom,Hard
Who built the first laser?,Edith Clarke,Jack Kilby,Nikola Tesla,Theodore Harold Maiman,Theodore Harold Maiman,Hard
What immense structure is referred to in Norse Mythology as the Yggdrasil.,Castle,Mountain,Temple,Tree,Tree,Hard
Which of these animals is NOT a lizard?,Gila Monster,Green Iguana,Komodo Dragon,Tuatara,Tuatara,Hard
To what political party did Abraham Lincoln belong when elected POTUS?,Democrat,Independent,Republican,Whig,Republican,Easy
"Which best selling toy of 1983 caused hysteria, resulting in riots breaking out in stores?",Cabbage Patch Kids,Care Bears,Rubik&rsquo;s Cube,Transformers,Cabbage Patch Kids,Easy
What is the French word for fish?,escargot,fiche,mer,poisson,poisson,Easy
What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,The British Bulldogs,The Bushwhackers,The Dream Team,Demolition,Easy
"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",Cellphone,Key,Pen,Sword,Key,Easy
Which UK country features a dragon on their flag?,England,North Ireland,Scotland,Wales,Wales,Easy
"By definition, where does an abyssopelagic animal live?",At the bottom of the ocean,In the desert,Inside a tree,On top of a mountain,At the bottom of the ocean,Easy
Red Vines is a brand of what type of candy?,Bubblegum,Chocolate,Licorice,Lollipop,Licorice,Easy
What is the capital of the American state of Arizona?,Montgomery,Phoenix,Raleigh,Tallahassee,Phoenix,Easy
"This Canadian television sportscaster is known for his Hockey Night in Canada role, a commentary show during hockey games.",Don Cherry,Don McKellar,Don Taylor ,Donald Sutherland,Don Cherry,Easy
Which modern day country is the region that was known as Phrygia in ancient times?,Egypt,Greece,Syria,Turkey,Turkey,Easy
When was Google founded?,"December 12, 1989","Feburary 7th, 2000","October 9, 1997","September 4, 1998","September 4, 1998",Easy
What is the only state in the United States that does not have a flag in a shape with 4 edges?,Florida,Idaho,New Mexico,Ohio,Ohio,Easy
What does the Prt Sc button do?,Captures whats on the screen and copies it to your clipboard,Closes all windows,Nothing,Saves a .png file of whats on the screen in your screenshots folder in photos,Captures whats on the screen and copies it to your clipboard,Easy
Which of the following sports is not part of the triathlon?,Cycling,Horse-Riding,Running,Swimming,Horse-Riding,Easy
What is the name of the peninsula containing Spain and Portugal?,European Peninsula,Iberian Peninsula,Peloponnesian Peninsula,Scandinavian Peninsula,Iberian Peninsula,Easy
How many countries does the United States share a land border with?,1,2,3,4,2,Easy
What is the capital of the US State of New York?,Albany,Buffalo,New York,Rochester,Albany,Easy
The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,"Poland, Iceland, Italy, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Portugal, Ireland, Italy, Greece, Spain","Portugal, Ireland, Italy, Greece, Spain",Easy
"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-5,1-6,1-7,2-6,01-Jul,Easy
Which of the following is NOT classified as a Semetic language?,Akkadian,Maltese,Mandaic,Sumerian,Sumerian,Medium
"What is the name of the ship which was only a few miles away from the RMS Titanic when it struck an iceberg on April 14, 1912?",Californian,Carpathia,Commerce,Cristol,Californian,Medium
What is the capital of Estonia?,Helsinki,Riga,Tallinn,Tartu,Tallinn,Medium
What did the name of the Tor Anonymity Network orignially stand for?,The Ominous Router,The Onion Router,The Only Router,The Orange Router,The Onion Router,Medium
"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",Jumping backwards over a desk,Jumping over an office chair,Standing on his head,Typing on a keyboard during a handstand,Jumping over an office chair,Medium
What cricketing term denotes a batsman being dismissed with a score of zero?,Beamer,Bye,Carry,Duck,Duck,Medium
"In 2016, who won the Formula 1 World Constructors Championship for the third time in a row?",McLaren Honda,Mercedes-AMG Petronas,Red Bull Racing Renault,Scuderia Ferrari,Mercedes-AMG Petronas,Medium
"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input,Common Language Interface,Control Line Interface,Command Line Interface,Medium
What year were the Marian Reforms instituted in the Roman Republic?,102 CE,107 BCE,264 BCE,42 BCE,107 BCE,Medium
Where is the area commonly known as the Bermuda Triangle?,In the Caribbean Sea,"North Atlantic Ocean, between Florida and Puerto Rico","North Pacific Ocean, between Japan and the USA","South Pacific Ocean, far off Chile","North Atlantic Ocean, between Florida and Puerto Rico",Medium
Which of these countrys capitals starts with the letter B?,Jordan,Kuwait,Lebanon,Qatar,Lebanon,Medium
What is the capital of Chile?,Antofagasta,Copiap&oacute;,Santiago,Valpara&iacute;so,Santiago,Medium
"What is the bloodiest event in United States history, in terms of casualties?",Battle of Antietam,D-Day,Pearl Harbor,September 11th,Battle of Antietam,Medium
The now extinct species Thylacine was native to where?,"Baluchistan, Pakistan","Oregon, United States","Tasmania, Australia","Wallachia, Romania","Tasmania, Australia",Medium
"A carnivorous animal eats flesh, what does a nucivorous animal eat?",Fruit,Nothing,Nuts,Seaweed,Nuts,Medium
Which soccer team won the Copa Am&eacute;rica 2015 Championship ?,Argentina,Brazil,Chile,Paraguay,Chile,Medium
What is the scientific name for the Polar Bear?,Polar Bear,Ursus Arctos,Ursus Maritimus,Ursus Spelaeus,Ursus Maritimus,Medium
Which of the following player scored a hat-trick during their Manchester United debut?,Cristiano Ronaldo,David Beckham,Robin Van Persie,Wayne Rooney,Wayne Rooney,Medium
What is the scientific name of the Budgerigar?,Ara macao,Melopsittacus undulatus,Nymphicus hollandicus,Pyrrhura molinae,Melopsittacus undulatus,Hard
"After the 1516 Battle of Marj Dabiq, the Ottoman Empire took control of Jerusalem from which sultanate?",Ayyubid,Mamluk,Seljuq,Ummayyad,Mamluk,Hard
Which musician has collaborated with American producer Porter Robinson and released the 2016 song Shelter?,Madeon,Mat Zo,Zedd,deadmau5,Madeon,Hard
What is the capital city of Bermuda?,Hamilton,Havana,San Juan,Santo Dominigo,Hamilton,Hard
