Category,Question Type,Difficulty,Question,Probable Answers,Actual Answer
History,multiple,Medium,Under which name was Rodrigo Borgia made Pope?,"['Alexander VI', 'John Paul II', 'Pius VII', 'Rodrigo I']",Alexander VI
Geography,multiple,Medium,What is the capital of Greenland?,"['Maniitsoq', 'Narsaq', 'Nuuk', 'Sisimiut']",Nuuk
Geography,multiple,Medium,What is the largest lake in the African continent?,"['Lake Malawi', 'Lake Tanganyika', 'Lake Turkana', 'Lake Victoria']",Lake Victoria
Science: Computers,multiple,Medium,What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?,"['CPU Vent', 'Heat Sink', 'Heat Vent', 'Temperature Decipator']",Heat Sink
Geography,multiple,Medium,What is the busiest port in Europe?,"['Port of Amsterdam', 'Port of Antwerp', 'Port of Hamburg', 'Port of Rotterdam']",Port of Rotterdam
History,multiple,Hard,"During World War I, which nation&#039;s monarchs were blood related?","['England, Germany, Russia', 'France, Russia, Germany', 'Germany, Spain, Austria', 'Serbia, Russia, Croatia']","England, Germany, Russia"
History,multiple,Hard,Which is the hull NO. of the Fletcher class destroyer Fletcher?,"['DD-444', 'DD-445', 'DD-446', 'DD-992']",DD-445
History,multiple,Hard,What year was the United States Declaration of Independence signed?,"['1774', '1775', '1776', '1777']",1776
History,multiple,Hard,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,"['Case Blue', 'Operation Barbarossa', 'Operation Sunflower', 'Operation Typhoon']",Operation Typhoon
General Knowledge,multiple,Hard,"Which church&#039;s interior in Vatican City was designed in 1503 by renaissance architects including Bramante, Michelangelo and Bernini?","['Catania Cathedral', 'St. Mark&rsquo;s Basilica', 'St. Peter&#039;s Basilica', 'The Duomo of Florence']",St. Peter&#039;s Basilica
General Knowledge,multiple,Hard,Which of the following is not another name for the eggplant?,"['Brinjal', 'Guinea Squash', 'Melongene', 'Potimarron']",Potimarron
Animals,multiple,Hard,What was the name of the Ethiopian Wolf before they knew it was related to wolves?,"['Amharic Fox', 'Canis Simiensis', 'Ethiopian Coyote', 'Simien Jackel']",Simien Jackel
Science: Computers,multiple,Hard,The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,"['Fiji', 'Marshall Islands', 'Micronesia', 'Tuvalu']",Micronesia
Geography,multiple,Hard,What is the Finnish word for &quot;Finland&quot;?,"['Eesti', 'Magyarorsz&aacute;g', 'Suomi', 'Sverige']",Suomi
History,multiple,Hard,How many sonatas did Ludwig van Beethoven write?,"['21', '31', '32', '50']",32
General Knowledge,multiple,Hard,What is the romanized Arabic word for &quot;moon&quot;?,"['Kawkab', 'Najma', 'Qamar', 'Shams']",Qamar
History,multiple,Hard,When did Spanish Peninsular War start?,"['1806', '1808', '1809', '1810']",1808
General Knowledge,multiple,Hard,"What does the Latin phrase &quot;Veni, vidi, vici&quot; translate into English?","['I came, I saw, I conquered', 'Life, liberty, and happiness', 'Past, present, and future', 'See no evil, hear no evil, speak no evil']","I came, I saw, I conquered"
Sports,multiple,Hard,Which year was the third Super Bowl held?,"['1968', '1969', '1970', '1971']",1969
History,multiple,Hard,What is the name of the Boeing B-29 that dropped the &#039;Little Boy&#039; atomic bomb on Hiroshima?,"['Enola Gay', 'Full House', 'Necessary Evil', 'The Great Artiste']",Enola Gay
Animals,multiple,Hard,What is the scientific name of the cheetah?,"['Acinonyx jubatus', 'Felis catus', 'Lynx rufus', 'Panthera onca']",Acinonyx jubatus
History,multiple,Hard,Which King of England was faced with the Peasants&#039; Revolt in 1381?,"['Edward II', 'Edward III', 'Henry IV', 'Richard II']",Richard II
General Knowledge,multiple,Hard,What year was the RoboSapien toy robot released?,"['2000', '2001', '2004', '2006']",2004
Sports,multiple,Easy,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?","['1-5', '1-6', '1-7', '2-6']",1-7
Mythology,multiple,Easy,This Greek goddess&#039;s name was chosen for the dwarf planet responsible for discord on Pluto&#039;s classification amongst astronomers.,"['Ceres', 'Charon', 'Dysnomia', 'Eris']",Eris
General Knowledge,multiple,Easy,Terry Gilliam was an animator that worked with which British comedy group?,"['Monty Python', 'The Goodies&lrm;', 'The League of Gentlemen&lrm;', 'The Penny Dreadfuls']",Monty Python
Science: Computers,multiple,Easy,The C programming language was created by this American computer scientist. ,"['Dennis Ritchie', 'Tim Berners Lee', 'Willis Ware', 'al-Khwārizmī']",Dennis Ritchie
Science: Computers,multiple,Easy,"On Twitter, what was the original character limit for a Tweet?","['100', '120', '140', '160']",140
General Knowledge,multiple,Easy,What does a funambulist walk on?,"['A Tight Rope', 'Balls', 'Broken Glass', 'The Moon']",A Tight Rope
Mythology,multiple,Easy,"In most traditions, who was the wife of Zeus?","['Aphrodite', 'Athena', 'Hera', 'Hestia']",Hera
Sports,multiple,Easy,Who won the 2015 Formula 1 World Championship?,"['Jenson Button', 'Lewis Hamilton', 'Nico Rosberg', 'Sebastian Vettel']",Lewis Hamilton
Mythology,multiple,Easy,How many heads does Cerberus have?,"['1', '2', '3', '5']",3
Geography,multiple,Easy,What is the name of the peninsula containing Spain and Portugal?,"['European Peninsula', 'Iberian Peninsula', 'Peloponnesian Peninsula', 'Scandinavian Peninsula']",Iberian Peninsula
History,multiple,Easy,"In 1939, Britain and France declared war on Germany after it invaded which country?","['Austria', 'Czechoslovakia', 'Hungary', 'Poland']",Poland
History,multiple,Easy,How many manned moon landings have there been?,"['1', '3', '6', '7']",6
General Knowledge,multiple,Easy,"Which country, not including Japan, has the most people of japanese decent?","['Brazil', 'China', 'South Korea', 'United States of America']",Brazil
General Knowledge,multiple,Easy,Which of the following is the IATA code for Manchester Airport?,"['EGCC', 'EGLL', 'LHR', 'MAN']",MAN
General Knowledge,multiple,Easy,"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?","['Cellphone', 'Key', 'Pen', 'Sword']",Key
History,multiple,Easy,Which modern country is known as &quot;The Graveyard of Empires&quot;?,"['Afghanistan', 'China', 'Iraq', 'Russia']",Afghanistan
History,multiple,Easy,What year did World War I begin?,"['1905', '1914', '1919', '1925']",1914
History,multiple,Easy,Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,"['Achaeans', 'Dorians', 'Illyrians', 'Ionians']",Illyrians
General Knowledge,multiple,Easy,Which of these colours is NOT featured in the logo for Google?,"['Blue', 'Green', 'Pink', 'Yellow']",Pink
General Knowledge,multiple,Medium,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,"['Ninja', 'Samurai', 'Shinobi', 'Shogun']",Shogun
Sports,multiple,Medium,What year was hockey legend Wayne Gretzky born?,"['1959', '1961', '1963', '1965']",1961
History,multiple,Medium,Which Apollo mission was the last one in NASA&#039;s Apollo program?,"['Apollo 11', 'Apollo 13', 'Apollo 15', 'Apollo 17']",Apollo 17
Animals,multiple,Medium,"The dish Fugu, is made from what family of fish?","['Bass', 'Mackerel', 'Pufferfish', 'Salmon']",Pufferfish
Geography,multiple,Medium,What city  has the busiest airport in the world?,"['Atlanta, Georgia USA', 'Chicago,Illinois ISA', 'London, England', 'Tokyo,Japan']","Atlanta, Georgia USA"
General Knowledge,multiple,Medium,When was Hubba Bubba first introduced?,"['1972', '1979', '1980', '1984']",1979
Geography,multiple,Medium,Where is the world&#039;s oldest still operational space launch facility located?,"['Iran', 'Kazakhstan', 'Russia', 'United States']",Kazakhstan
Science: Computers,multiple,Medium,How fast is USB 3.1 Gen 2 theoretically?,"['1 Gb/s', '10 Gb/s', '5 Gb/s', '8 Gb/s']",10 Gb/s
Science: Computers,multiple,Medium,Nvidia&#039;s headquarters are based in which Silicon Valley city?,"['Cupertino', 'Mountain View', 'Palo Alto', 'Santa Clara']",Santa Clara
Geography,multiple,Medium,What is the right way to spell the capital of Hungary?,"['Bhudapest', 'Boodapest', 'Budapast', 'Budapest']",Budapest
Geography,multiple,Medium,Which of these countries is NOT located in Africa?,"['Algeria', 'Burkina Faso', 'Mozambique', 'Suriname']",Suriname
Geography,multiple,Medium,The Japanese district Akihabara is also known by what nickname?,"['Big Eyes', 'Electric Town', 'Moon Walk River', 'Otaku Central ']",Electric Town
Science: Computers,multiple,Medium,Which operating system was released first?,"['Linux', 'Mac OS', 'OS/2', 'Windows']",Mac OS
Geography,multiple,Medium,What is the northernmost human settlement with year round inhabitants?,"['Alert, Canada', 'Honningsv&aring;g, Norway', 'McMurdo Station, Antarctica ', 'Nagurskoye, Russia']","Alert, Canada"
Geography,multiple,Medium,The Principality of Sealand is an unrecognized micronation off the coast of what country?,"['Argentina', 'Austrailia', 'Japan', 'The United Kingdom']",The United Kingdom
History,multiple,Medium,What was the bloodiest single-day battle during the American Civil War?,"['The Battle of Antietam', 'The Battle of Gettysburg', 'The Battles of Chancellorsville', 'The Siege of Vicksburg']",The Battle of Antietam
Sports,multiple,Medium,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,"['Benetton', 'Ferrari', 'Jordan', 'Mercedes']",Jordan
General Knowledge,multiple,Medium,"Which of these is the name of a Japanese system of alternative medicine, literally meaning &quot;finger pressure&quot;?","['Ikigai', 'Majime', 'Shiatsu', 'Ukiyo']",Shiatsu
Geography,multiple,Hard,"What national museum will you find in Cooperstown, New York?","['Metropolitan Museum of Art', 'Museum of Modern Art', 'National Baseball Hall of Fame', 'National Toy Hall of Fame']",National Baseball Hall of Fame
General Knowledge,multiple,Hard,The word &quot;abulia&quot; means which of the following?,"['A feverish desire to rip one&#039;s clothes off', 'The inability to concentrate on anything', 'The inability to make decisions', 'The inability to stand up']",The inability to make decisions
Geography,multiple,Hard,"Bir Tawil, an uninhabited track of land claimed by no country, is located along the border of which two countries?","['Chad and Libya', 'Egypt and Sudan', 'Iraq and Saudi Arabia', 'Israel and Jordan']",Egypt and Sudan
Mythology,multiple,Hard,Which Norse God has a horse named Sleipnir?,"['Balder', 'Frigg', 'Odin', 'Thor']",Odin
Science: Computers,multiple,Hard,What internet protocol was documented in RFC 1459?,"['FTP', 'HTTP', 'HTTPS', 'IRC']",IRC
Geography,multiple,Hard,What year is on the flag of the US state Wisconsin?,"['1634', '1783', '1848', '1901']",1848
Science: Computers,multiple,Hard,"According to DeMorgan&#039;s Theorem, the Boolean expression (AB)&#039; is equivalent to:","['A&#039; + B&#039;', 'A&#039;B + B&#039;A', 'A&#039;B&#039;', 'AB&#039; + AB']",A&#039; + B&#039;
Science: Computers,multiple,Hard,What was the name of the security vulnerability found in Bash in 2014?,"['Bashbug', 'Heartbleed', 'Shellshock', 'Stagefright']",Shellshock
Animals,multiple,Hard,What is the scientific name of the cheetah?,"['Acinonyx jubatus', 'Felis catus', 'Lynx rufus', 'Panthera onca']",Acinonyx jubatus
History,multiple,Hard,The ancient city of Chich&eacute;n Itz&aacute; was built by which civilization?,"['Aztecs', 'Incas', 'Mayans', 'Toltecs']",Mayans
Geography,multiple,Easy,What is the capital of Scotland?,"['Dundee', 'Edinburgh', 'Glasgow', 'London']",Edinburgh
General Knowledge,multiple,Easy,How would one say goodbye in Spanish?,"[' Hola', 'Adi&oacute;s', 'Au Revoir', 'Salir']",Adi&oacute;s
History,multiple,Easy,When did the Battle of the Somme begin?,"['August 1st, 1916', 'July 1st, 1916', 'July 2nd, 1916', 'June 30th, 1916']","July 1st, 1916"
Animals,multiple,Easy,"The Kākāpō is a large, flightless, nocturnal parrot native to which country?","['Australia', 'Madagascar', 'New Zealand', 'South Africa']",New Zealand
General Knowledge,multiple,Easy,"If you are caught &quot;Goldbricking&quot;, what are you doing wrong?","['Cheating', 'Slacking', 'Smoking', 'Stealing']",Slacking
History,multiple,Easy,In what year was the M1911 pistol designed?,"['1899', '1907', '1911', '1917']",1911
Animals,multiple,Easy,How many legs do butterflies have?,"['0', '2', '4', '6']",6
Geography,multiple,Easy,What is the capital of Denmark?,"['Aalborg', 'Aarhus', 'Copenhagen', 'Odense']",Copenhagen
Mythology,multiple,Easy,What mythology did the god &quot;Apollo&quot; come from?,"['Greek and Chinese', 'Greek and Roman', 'Greek, Roman and Norse', 'Roman and Spanish']",Greek and Roman
Animals,multiple,Easy,What do you call a baby bat?,"['Chick', 'Cub', 'Kid', 'Pup']",Pup
Geography,multiple,Easy,The Alps are a mountain range on which continent?,"['Africa', 'Asia', 'Europe', 'North America']",Europe
History,multiple,Easy,What year did World War I begin?,"['1905', '1914', '1919', '1925']",1914
Sports,multiple,Easy,Who won the 2015 Formula 1 World Championship?,"['Jenson Button', 'Lewis Hamilton', 'Nico Rosberg', 'Sebastian Vettel']",Lewis Hamilton
General Knowledge,multiple,Easy,"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?","['Fat Man', 'Noah&#039;s Ark', 'Spruce Goose', 'Trojan Horse']",Spruce Goose
General Knowledge,multiple,Easy,What is the name of the company in Lethal Company?,"['Gordian Shipping Co.', 'Lethal Robotics', 'Planet Scrap Co.', 'The Company']",The Company
General Knowledge,multiple,Easy,What company developed the vocaloid Hatsune Miku?,"['Crypton Future Media', 'Sega', 'Sony', 'Yamaha Corporation']",Crypton Future Media
History,multiple,Easy,Which of these countries remained neutral during World War II?,"['France', 'Italy', 'Switzerland', 'United Kingdom']",Switzerland
General Knowledge,multiple,Easy,What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?,"['Air France', 'British Airways', 'Swiss Air', 'TWA']",Swiss Air
Geography,multiple,Easy,Which of the following Arab countries does NOT have a flag containing only Pan-Arab colours?,"['Jordan', 'Kuwait', 'Qatar', 'United Arab Emirates']",Qatar
General Knowledge,multiple,Easy,What zodiac sign is represented by a pair of scales?,"['Aries', 'Capricorn', 'Libra', 'Sagittarius']",Libra
Geography,multiple,Easy,What colour is the circle on the Japanese flag?,"['Black', 'Red', 'White', 'Yellow']",Red
Geography,multiple,Easy,Which of the following European languages is classified as a &quot;language isolate?&quot;,"['Basque', 'Galician', 'Hungarian', 'Maltese']",Basque
Sports,multiple,Medium,Which of the following player scored a hat-trick during their Manchester United debut?,"['Cristiano Ronaldo', 'David Beckham', 'Robin Van Persie', 'Wayne Rooney']",Wayne Rooney
History,multiple,Medium,"One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?","['1 to 3 percent', '3 to 6 percent', '6 to 10 percent', 'less than 1 percent']",3 to 6 percent
Geography,multiple,Medium,Which of the following is not a megadiverse country - one that harbors a high number of the earth&#039;s endemic species?,"['Mexico', 'Peru', 'South Africa', 'Thailand']",Thailand
General Knowledge,multiple,Medium,What name represents the letter &quot;M&quot; in the NATO phonetic alphabet?,"['Mark', 'Matthew', 'Max', 'Mike']",Mike
Geography,multiple,Medium,What island in the Canary Islands was the scene of one of the worst air disasters in history with the collision of two jumbo jets?,"['Fuerteventura', 'Gran Canaria', 'Maui', 'Tenerife']",Tenerife
General Knowledge,multiple,Medium,What does the &quot;G&quot; mean in &quot;G-Man&quot;?,"['Geronimo', 'Ghost', 'Going', 'Government']",Government
Science: Computers,multiple,Medium,Nvidia&#039;s headquarters are based in which Silicon Valley city?,"['Cupertino', 'Mountain View', 'Palo Alto', 'Santa Clara']",Santa Clara
History,multiple,Medium,When was the People&#039;s Republic of China founded?,"['April 3, 1947', 'December 6, 1950', 'May 7, 1945', 'October 1, 1949']","October 1, 1949"
Art,multiple,Medium,Who designed the Chupa Chups logo?,"['Andy Warhol', 'Pablo Picasso', 'Salvador Dali', 'Vincent van Gogh']",Salvador Dali
General Knowledge,multiple,Medium,Which of the following carbonated soft drinks were introduced first?,"['Coca-Cola', 'Dr. Pepper', 'Mountain Dew', 'Sprite']",Dr. Pepper
History,multiple,Medium,What year did the Battle of Agincourt take place?,"['1401', '1415', '1422', '1463']",1415
History,multiple,Medium,Against which country did the Dutch Republic fight the Eighty Years&#039; War?,"['England', 'France', 'Portugal', 'Spain']",Spain
History,multiple,Hard,Which of these theoretical phycisists first predicted the existence of antimatter?,"['Albert Einstein', 'Niels Bohr', 'Paul Dirac', 'Werner Heisenberg']",Paul Dirac
General Knowledge,multiple,Hard,What is the romanized Korean word for &quot;heart&quot;?,"['Aejeong', 'Jeongsin', 'Segseu', 'Simjang']",Simjang
History,multiple,Hard,Which of the following was not one of Joseph Stalin&#039;s ten blows during World War II?,"['Crimean Offensive', 'Leningrad-Novgorod Offensive', 'Operation Bagration', 'Vistula-Oder Offensive']",Vistula-Oder Offensive
